,1.0,1.5,2.0,2.5
coverage_score,1.0,1.0,1.0,1.0
mmd,0.006183333333333333,0.007046666666666668,0.009168333333333334,0.007400000000000001
performance.linear_model.gt_class,0.7881636370174862,0.7881636370174862,0.7881636370174862,0.7881636370174862
performance.linear_model.gt_regr,0.5939638320775591,0.5939638320775591,0.5939638320775591,0.5939638320775591
performance.linear_model.syn_id_class,0.7839272031885275,0.7902965279611927,0.7866649639885162,0.7828917573274429
performance.linear_model.syn_id_regr,0.36492121313888143,0.395249653197356,0.27837639942348913,0.4745828555152138
performance.linear_model.syn_ood_class,0.7840480274655076,0.7905403141950945,0.7866930872855001,0.783046531189307
performance.linear_model.syn_ood_regr,0.33759134575091826,0.3674619367062217,0.24368088193413617,0.4541524042212175
performance.mlp.gt_class,0.6508153060846863,0.6508153060846863,0.6508153060846863,0.6508153060846863
performance.mlp.gt_regr,-3097.2224824523364,-3097.2224824523364,-3097.2224824523364,-3097.2224824523364
performance.mlp.syn_id_class,0.604202597633825,0.6089081002910802,0.6332555550850225,0.6231926372157086
performance.mlp.syn_id_regr,-2257.779957483122,-6469.462151522962,-1969.9489593318601,-3498.584498696502
performance.mlp.syn_ood_class,0.6097573884854587,0.6089973704008792,0.6261059846586163,0.6059966755142194
performance.mlp.syn_ood_regr,-2291.7076593711377,-6317.195531801997,-1965.7006537052378,-3335.4264935267693
performance.xgb.gt_class,0.9153823025521978,0.9153823025521978,0.9153823025521978,0.9153823025521978
performance.xgb.gt_regr,0.7156528768685264,0.7156528768685264,0.7156528768685264,0.7156528768685264
performance.xgb.syn_id_class,0.8722188878031033,0.864987848944704,0.8674934126408043,0.8693314062347004
performance.xgb.syn_id_regr,0.6149472228819373,0.6777879744343142,0.6496006083115737,0.6348927550062438
performance.xgb.syn_ood_class,0.8720458321956955,0.8649189824508485,0.8673763966267197,0.8692886148858161
performance.xgb.syn_ood_regr,0.613835282779711,0.6764300686306652,0.6581576476316278,0.6360151698707015
performance.feat_rank_distance.corr_class,0.3435374470859196,0.3138384670615067,0.34495112771894104,0.33093806520667
performance.feat_rank_distance.corr_regr,0.6291099087163701,0.6006440598569825,0.6530540525621292,0.6540997778699696
performance.feat_rank_distance.pvalue_class,1.9656625757580213e-09,3.354802953003745e-08,5.276011921728502e-13,1.022271368888442e-06
performance.feat_rank_distance.pvalue_regr,0.040957670215894325,0.05415516349684407,0.06522873142036084,0.026524492941170156
